event_description,location_description,location_accuracy,landslide_trigger,landslide_size,landslide_setting,landslide_category,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_population,rain,earthquake,downpour,snow,other,small_scale,medium_scale,large_scale,home_destroyed,mudslide,landslide
"At least six people died in the torrential rains that buffeted the northeastern Brazilian state of Pernambuco over the weekend, emergency management officials said. A mudslide killed four members of a family in Camaragibe, a city in the Recife metropolitan area, the Pernambuco emergency management office said.  A man was killed by a mudslide in Recife, the capital of Pernambuco, and a 13-year-old girl died when she fell into a flooded ditch in the neighboring city of Olinda. The heavy rains, which hit the region on Saturday and Sunday, caused at least 48 mudslides in Pernambuco, affecting traffic and the delivery of some essential services. Moderate rainfall is expected this week in the region, the weather service said. About 50 cities in Pernambuco were affected by heavy rains in April and nine municipalities, where nearly 15,000 people were affected by flooding and other problems, were declared disaster areas. Landslide occurred on the 16th or 17th. Read more: http://latino.foxnews.c",Recife,5km,downpour,medium,unknown,mudslide,1.0,0.0,nan,nan,nan,glc,3786.0,Brazil,BR,1478098.0,1,0,1,0,0,0,1,0,0,1,0
"At least seven people were killed and over a dozen injured when their houses were hit by landslides triggered by torrential rainfall in Ruinibang bazaar in Rolpa district in the wee hours of Saturday morning.Six houses, some of them lodges, were buried by the landslides.According to police, at least 18 persons who were trapped in their houses following the collapse were rescued alive. The security personnel have been digging to reach the remaining dead bodies.","Ruinibang of Sulichowr VDC,Rolpa",5km,downpour,medium,unknown,landslide,7.0,0.0,nan,nan,nan,glc,3978.0,Nepal,NP,5427.0,1,0,1,0,0,0,1,0,0,0,1
"At least twenty one bodies, including those of the Indo-Tibetan Border Police (ITBP) and the Border Roads Organisation (BRO) personnel, have so far been found while eight persons are still missing due to flash flood and landslides in remote areas of North Sikkim, official sources said  The dead include four from the ITBP, two of their family members, and 12 junior officers from the BRO. Other victims were casual labourers, officials said.Most of the casualties are reported from Rangma range.Landslides were caused by heavy rains since September 19, Deputy Commissioner North district T W Khangsherpa said.There were about nine landslides blocking the main road between Chungthang and Mangan in the district, he said.","North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)",10km,downpour,large,unknown,landslide,20.0,0.0,nan,nan,nan,glc,4569.0,India,IN,1464.0,1,0,1,0,0,0,0,1,0,0,1
"A German worker has been killed in a work accident in Kitzbühel, in the Austrian province of Tirol when he was buried under a mass of earth . Whilst working on an embankment erecting a retaining wall a mass of earth plunged him burying him a metre under the earth. The 62-year-old worker died at the scene. A further colleague was also partially buried but was quickly freed. Alois Schmidinger. Fire Service Commander in Kitzbühel said: ""We had to use diggers to search for the man. Earth continued to fall and meant it took thirty minutes to find the man."" The surviving man was taken to hospital in St. Johann. Thirty five firemen attended the scene. Police and firemen are currently at the scene and are assessing how the incident could occur.",Kitzbühel,10km,rain,medium,unknown,landslide,1.0,1.0,nan,nan,nan,glc,5597.0,Austria,AT,8818.0,1,0,0,0,0,0,1,0,0,0,1
2 men in their 40s die of asphyxia,"Sitio Calot, Santa Felomina, Quezon, Bukidnon",50km,rain,medium,unknown,landslide,2.0,0.0,nan,nan,nan,glc,6347.0,Philippines,PH,6508.0,1,0,0,0,0,0,1,0,0,0,1
"One person was killed in a landslide in Chiang Rai, 700 kilometres north of Bangkok.",Chiang Rai,50km,monsoon,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,5238.0,Thailand,TH,78756.0,1,0,0,0,0,0,1,0,0,0,1
The deaths come after three people died on Sunday in a landslide near the Guangxi city of Wuzhou.,Guangxi City Of Wuzhou,5km,rain,medium,unknown,landslide,3.0,0.0,nan,nan,nan,glc,5357.0,China,CN,265846.0,1,0,0,0,0,0,1,0,0,0,1
1 killed on beach when sand slid from cliff,"Whitehaven, Cumbria",5km,rain,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,1.0,United Kingdom,GB,24803.0,1,0,0,0,0,0,1,0,0,0,1
"houses collapse, roof collapses, car buried, Bus accident; also * landslide engulfed house in town. Alternative Location: -22.045245, -42.673404","Sumidouro, Rio de Janeiro",10km,rain,medium,unknown,landslide,2.0,0.0,nan,nan,nan,glc,4.0,Brazil,BR,11555.0,1,0,0,0,0,0,1,0,0,0,1
"houses collapse, roof collapses, car buried, Bus accident; also * landslide engulfed house in town. Alternative Location: -22.045245, -42.673404","Nova Friburgo, Rio de Janeiro",25km,rain,large,unknown,landslide,7.0,0.0,nan,nan,nan,glc,3.0,Brazil,BR,153361.0,1,0,0,0,0,0,0,1,0,0,1
"People walk on a flooded road after heavy rains in northwest Pakistan's Peshawar on Aug. 28, 2012. Floods and landslides triggered by heavy rains have killed at least 32 people and destroyed hundreds of houses in northern Pakistan. (Xinhua/Umar Qayyum)",Peshawar,25km,downpour,large,unknown,landslide,32.0,0.0,nan,nan,nan,glc,4520.0,Pakistan,PK,1218773.0,1,0,1,0,0,0,0,1,0,0,1
"Rescuers found five more bodies in the mud after flooding and landslides in northern Indonesia, bringing the death toll to 15 after the disaster that sent thousands fleeing for safe ground, police and witnesses said Monday. Crying relatives watched in horror as residents and rescuers pulled out muddy corpses on Sunday from seven hamlets devastated by landslides and floods in Manado, the capital of North Sulawesi province, while more than 1,000 houses were flooded by an overflowing river.","Manado, North Sulawesi",5km,rain,very_large,unknown,landslide,15.0,0.0,nan,nan,nan,glc,4755.0,Indonesia,ID,451893.0,1,0,0,0,0,0,0,1,0,0,1
"Over the weekend, torrential rain in the northeastern Brazilian state of Bahia left at least 16 people dead, a civil protection source told AFP. One person remains missing there.","Lajedinho, Bahia",1km,downpour,medium,unknown,mudslide,16.0,0.0,nan,nan,nan,glc,5679.0,Brazil,BR,11169.0,1,0,1,0,0,0,1,0,0,1,0
Bus was swept away in a mudslide,"Macusani district, Puno",25km,downpour,medium,unknown,mudslide,7.0,0.0,nan,nan,nan,glc,827.0,Peru,PE,6044.0,1,0,1,0,0,0,1,0,0,1,0
"women and 2 children killed in mudslide, powerful rainstorm affected southeast Bangladesh",Betbunia,5km,rain,medium,unknown,mudslide,3.0,0.0,nan,nan,nan,glc,311.0,Bangladesh,BD,37985.0,1,0,0,0,0,0,1,0,0,1,0
"The Sangguniang Bayan of Boston, on January 10, declared the town under a state of calamity when some of its barangays were affected by flashfloods as a result of intermittent rains that occurred since late last year until early days of January this year.  Meanwhile, Timbang bared the declaration of a state of calamity by the Sangguniang Bayan of the Municipality of Caraga on January 17.  Caraga suffered damages to life and property when landslides came about due to heavy rains that occurred at the onset of the year, affecting its 10 far-flung barangays.  In explaining the late declaration, Timbang said officials of affected barangays of Caraga found it hard to come down and join the convening of the MDRRMC to make their official reports because roads were impassable.  Verifying their reports also took time due to bad state of access roads going to affected barangays.  “Dugay sila naka baba, dili pud masaka ang ilang lugar. (They took time coming down from the barangays, and their area","Timbang(?) and other barangays of Caraga municipality, Mindanao",unknown,continuous_rain,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,2944.0,Philippines,PH,31114.0,1,0,0,0,0,0,1,0,0,0,1
"Rescuers have reached the scene of a landslide that buried five people on Monday in southwest China's Guizhou Province, but rescue work was hampered by debris falling from the mountain. More than 400 rescuers have been sent to Longchang Township in Kaili City, where the landslide occurred around 11 a.m., said Huang Yuanliang, secretary of the Kaili Municipal Committee of the Communist Party of China, who is at the site of the landslide to direct rescue efforts. However, Huang said conditions are not ideal for rescue work and a team of geologists is looking into conditions on the mountain. Rescue workers are racing to relocate nearby residents to safe areas, Huang said. Rescuers said about 5,000 cubic meters of rock tumbled from the mountain, burying six work sheds belonging to a local coal mine. Five people, including two children, are believed to have been buried under the rocks. They are coal mine workers and their relatives. Investigation into the cause of the landslide is underway.","Longchang Town, Kaili City, Southwest China'S Guizhou Province",1km,mining,medium,unknown,rock_fall,5.0,0.0,nan,nan,nan,glc,4759.0,China,CN,91136.0,0,0,0,0,0,0,1,0,0,0,0
"A seven-year-old girl died on the spot after a landslide buried her house at Dhuseni Shivalaya VDC-6 in Kavre on Saturday morning.  The deceased has been identified as Sajita BK, daughter of Kanchha BK, according to the District Police Office, Dulikhel.     According to DSP Nabinraj Rai of the DPO, Kanchha’s wife Laxmi BK and elder daughter Sabita BK (10) were injured in the incident.","Dhuseni Shivalaya, Kavre, Nepal",1km,unknown,small,natural_slope,landslide,1.0,2.0,nan,nan,nan,glc,9249.0,Nepal,NP,27602.0,0,0,0,0,0,0,0,0,0,0,1
"TAGUM CITY – One person was hurt and more than 2,000 families have fled to safer grounds due to landslides and flooding spawned by a low pressure area in several areas in southern Mindanao, authorities on Sunday said.",Katipunan,5km,tropical_cyclone,large,unknown,landslide,23.0,1.0,Agaton,nan,nan,glc,5766.0,Philippines,PH,4172.0,0,0,0,0,1,0,0,1,0,0,1
"A total of 22 people were reported injured and one person still missing four days after the disaster, which struck around 8:00 p.m. on Wednesday when half of a 600-meter-high knoll broke free and ravaged a majority of Yingping village. The landslide destroyed at least 77 houses. Most of the residents in the village were children or elderly, as many residents had moved to major cities for work.","Yingping village, Daoping town, Fuquan city",1km,rain,large,unknown,landslide,22.0,22.0,nan,http://m.cri.cn/mmsource/images/2014/08/31/f2499401ea0446978bab2040d39d3a44.jpg,nan,glc,6239.0,China,CN,1171633.0,1,0,0,0,0,0,0,1,0,0,1
"A landslide before dawn Monday buried a home in the capital, Tegucigalpa, killing two adults and three children. Flooding across the western part of the country, claim it’s the worst since Hurricane Mitch",Tegucigalpa,25km,tropical_cyclone,large,unknown,mudslide,29.0,0.0,Tropical Depression 16,nan,nan,glc,855.0,Honduras,HN,850848.0,0,0,0,0,1,0,0,1,1,1,0
Hill slide collapsed and buried house\es ,La Fatima de Atenas,50km,rain,large,unknown,landslide,10.0,0.0,nan,nan,nan,glc,302.0,Costa Rica,CR,26669.0,1,0,0,0,0,0,0,1,0,0,1
"Three people were killed by floods in the central provinces of Quang Ngai and Binh Dinh over the weekend, the Central Steering Committee for Storm and Flood Control said. Floods have damaged 9,500 houses and destroyed 574ha of farmland – including 210ha of paddy fields. The floods have also caused landslides and traffic jams. A landslide occurred on National Highway 24 at Tong Ri pass in Quang Ngai Province. Others blocked roads connecting Ba Bich to Ba Nam and Ba To to Ba Le in Ba To District in Quang Ngai Province.Floods caused landslides at many roads in Quang Ngai, Quang Nam and Phu Yen, as well, sweeping away bridges and isolating tens of thousands of people.Meanwhile, a cold spell is hitting the northern region with temperatures dropping to 16 degrees Celsius and rain falling in some areas, according to the National Hydro-meteorological Forecast Centre.","National Highway 24 at Ton Ri Pass, Quang Ngai Province",5km,downpour,medium,unknown,landslide,3.0,0.0,nan,nan,nan,glc,4069.0,Vietnam,VN,32992.0,1,0,1,0,0,0,1,0,0,0,1
"At 1 pm, at least three persons from the same family including a three year old child were killed when their kitchen was submerged by the landslide. Reports say the disaster was caused by two hour heavy rainfall in the area.  The landslide also destroyed properties including houses and farms in the affected houses and farms in the affected communities.  The main road from Koforidua to Adukrom was also affected, 3 hours of rain","Asinema and Yensi-Akukrom in Akuapim North District of the Eastern Region (Nyensi, near Adukrom)",unknown,downpour,medium,unknown,landslide,3.0,0.0,nan,nan,nan,glc,828.0,Ghana,GH,11096.0,1,0,1,0,0,0,1,0,0,0,1
"The deaths happened late Tuesday in Magdalena Contreras, a town near Mexico City, the Notimex news agency reported. A drenched hill collapsed on some haphazardly built homes. The mudslide, which was the size of nearly two football fields, damaged several homes and destroyed one. The destroyed house also was struck by a tree that stood more than 30 feet high, Notimex said. The rain, which was still coming down Wednesday, has severely flooded at least 25 parts of the Federal District, which encompasses Mexico City. Dozens of other areas suffered less-severe flooding but still saw some traffic problems, Notimex said.","Magdalena Contreras, a town near Mexico City",5km,downpour,medium,unknown,mudslide,3.0,0.0,nan,nan,nan,glc,1167.0,Mexico,MX,228927.0,1,0,1,0,0,0,1,0,1,1,0
"At least 10 people have been killed after a landslide buried houses in Cheptundu and Kitony villages in Tot division in Marakwet East district.  The landslide which occurred Friday morning at 5 am local time was caused by heavy rains which have been pounding the area for the past four days causing part of the escarpment at Kakisoo in Embobut Location to cave in.  According to the officer in charge of police operations in the area Gideon Mugambi, so far bodies of 5 men, 1 woman and 4 children have been pulled out in the ongoing rescue operations.  Kaben Location chief Joseph Lokanda told journalists that more people are buried in the mudslide but could not give the exact number. 10 people with serious head injuries have so far been rescued and are being treated at Endo Mission hospital awaiting to be flown to other hospitals for specialized treatment.","Cheptundu(?) and Kitony(?) villages, Smer river(?), Kaben location(?), Tot division, Marakwet East District.  Kakisoo(?) escarpment, Embobut Location",10km,downpour,large,unknown,landslide,16.0,0.0,nan,nan,nan,glc,1799.0,Kenya,KE,9152.0,1,0,1,0,0,0,0,1,0,0,1
"22-year-old police constable Gambhir Singh, on duty in Bhatwari area of Uttarkashi district, was killed yesterday after a boulder rolling down a hill hit him. He died while being flown to Dehradun for treatment.","Bhatwari Area Of Uttarkashi Districti, Uttarakhand",5km,downpour,small,unknown,mudslide,1.0,0.0,nan,nan,nan,glc,5225.0,India,IN,17123.0,1,0,1,0,0,0,0,0,0,1,0
"flash flood in the river flowing past a man's house caused a landslide at the river bank and he was swept into the water, it had been raining for several hours before the landslide occurred","Gombak River, near Kuala Lumpur",10km,flooding,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,830.0,Malaysia,MY,1453975.0,1,0,1,0,0,0,1,0,0,0,1
"A large landslide caused several clifftop homeowners to be evacuated in Oakura this morning.An estimated 400 cubic metres of dirt came down onto the Taranaki town's holiday camp about 5.30am, following heavy overnight rain.In the Oakura Beah Holiday Park, three cabins, one of them occupied, and several motor vehicles were dislodged by the slide. Nobody was injured.New Plymouth District Council contractors were on the scene cleaning up debris and assessing the safety of clifftop homes on Jans Tce this morning.Homeowners were asked to leave their properties while safety tests were carried out but are now allowed back in their homes.",Oakura,1km,downpour,medium,unknown,landslide,3.0,0.0,nan,nan,nan,glc,4099.0,New Zealand,NZ,49168.0,1,0,1,0,0,0,1,0,1,0,1
"Salceda placed Albay under a state of calamity yesterday after five days of continuous heavy rains. Salceda said the two have been evacuated early Wednesday morning but apparently returned home to get some personal belongings. While returning to the evacuation center, they got stuck on the spillway and were carried away by the rushing waters, he said. Albay Police Provincial Office director, Senior Supt. William Macavinta,  said hundreds have been evacuated in Barangay Pinapian in Manito municipality which was struck by a landslide 5:30 p.m. Wednesday. Macavinta said the bodies of the two fatalities he identified as Lolita Dadap and her son Antonio were recovered early morning yesterday, hours after they were reported missing 5:30 p.m. Wednesday while crossing the spillway. At least two others who were previously reported missing have been found safely, he added as heavy rains continued to pound the province.","Barangay Pinapian (Tinapian) in Manito municipality, Albay Province",5km,downpour,medium,unknown,landslide,2.0,0.0,nan,nan,nan,glc,2911.0,Philippines,PH,3579.0,1,0,1,0,0,0,1,0,1,0,1
A 19-year-old migrant worker was found alive under debris three days after the Shenzhen mudslide.,Shenzhen,unknown,downpour,large,mine,mudslide,2.0,1.0,nan,nan,nan,glc,9519.0,China,CN,10358381.0,1,0,1,0,0,0,0,1,0,1,0
"April 27, 2011   Twenty-two out of Ecuador's 24 provinces have been affected by the rains which have lasted for four months now, the National Secretariat of Risk Management (SNGR) said Tuesday.  All the provinces have been affected except Sucumbios and Pastaza, SNGR Director Maria del Pilar Cornejo said.  Cornejo said last week that the rains have caused flooding, sinking and landslides that are affecting about 1,000 people in the country's mountain regions.  However, she said the number of affected might be larger, as authorities lack a ""precise record"" because there are people living in isolated communities.  According to SNGR figures, Quito, the capital of the South American country, suffered most from heavy rains, with 282 families at risk. The Quito City Hall together with the SNGR have allocated a special budget of 6 million U.S. dollars to help those affected by the rains.  At least seven people died in landslides last week, according to local reports. Landslide occurred durin",Mountain Regions ,unknown,downpour,medium,unknown,landslide,7.0,0.0,nan,nan,nan,glc,3403.0,Ecuador,EC,23687.0,1,0,1,0,0,0,1,0,0,0,1
"Beijing : Two people died and 10 others were missing Saturday in China following a rain storm, authorities said. The storm triggered landslides, flash floods and mud and rock flow in Sichuan province, Xinhua quoted the provincial drought relief headquarters as saying.","Xinhua,Sichuan",25km,downpour,medium,unknown,landslide,2.0,0.0,nan,nan,nan,glc,4493.0,China,CN,126787.0,1,0,1,0,0,0,1,0,0,0,1
"At least four people were killed in a landslide after heavy rains lashed the Ivorian economic capital Abidjan early on Tuesday.The tragedy occurred at Mossikro, a suburb of Attécoubé, a commune located in the central part of Abidjan where a similar landslide killed six people including three children last Thursday. In recent weeks, Abidjan has faced torrential rains, resulting in flooding and landslides. Twelve people have been killed by overnight landslides in the Ivory Coast following weeks of heavy rain, an official said on Thursday. The deaths in the city of Abidjan bring the total number of victims to 23 since the rainy season began a fortnight ago. The economic hub of Abidjan saw intense showers almost continuously for 48 hours from Tuesday, when four other people lost their lives. General Fiacre Kili, an official with the National Civil Protection, confirmed the deaths and said they were caused by ""heavy rains."" ""The situation is bad and keeps getting worse,"" said Paulin Cla",Abidjan,10km,continuous_rain,small,unknown,landslide,12.0,0.0,nan,nan,nan,glc,6054.0,Ivory Coast,CI,3677115.0,1,0,0,0,0,0,0,0,0,0,1
"One person was killed and seven others were injured in a landslide triggered by heavy rains in the remote area of Kishtwar district in Jammu and Kashmir, officials said on Tuesday. After heavy rains, the landslide occurred at Massu, about 280 kms from Jammu, in Kishtwar district on Monday evening, they said, adding a group of eight pilgrims, on way to Machail Mata, came under the debris.",nan,5km,downpour,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,2226.0,India,IN,20553.0,1,0,1,0,0,0,1,0,0,0,1
"Going home from capital, on road??","Hetuda, Kogate",25km,rain,medium,unknown,landslide,11.0,0.0,nan,nan,nan,glc,191.0,Nepal,NP,84775.0,1,0,0,0,0,0,1,0,1,0,1
A landslide triggered by heavy rains Sunday in the Ivory Coast killed at least seven people as their wooden homes were washed away in an Abidjan shantytown,Abidjan,5km,downpour,medium,unknown,landslide,7.0,0.0,nan,nan,nan,glc,615.0,Ivory Coast,CI,100653.0,1,0,1,0,0,0,1,0,1,0,1
"likely many different landslides/mudslides in area, haven't been reported yet",Haina,5km,tropical_cyclone,medium,unknown,mudslide,3.0,0.0,Tropical Storm Noel,nan,nan,glc,333.0,Dominican Republic,DO,66784.0,0,0,0,0,1,0,1,0,0,1,0
"5 dead in landslide at the height of ""Juaning's"" onslaught By AARON RECUENCO July 27, 2011, 12:07pm  MANILA, Philippines  -- Five members of a family died when their house was buried in a landslide at the height of tropical storm “Juaning” onslaught in Camarines Norte late Tuesday night.  The Camarines Norte landslide brought the death toll of the weather disturbance to 20, 15 of them in Bicol region—seven in Albay, two in Catanduanes, and one in Camarines Sur.  Local disaster officials said two others died in Cavite and one each in Marinduque, Iloilo and Quezon province.  Senior Supt. Victor Deona, deputy regional director for Administration of the Bicol regional police, said the landslide occurred in Barangay Sta. Rosa Norte, Jose Panganiban, in Camarines Norte at around 11:30 p.m. Tuesday.  “Five members of a family died as a result, we are still getting further details like the names and if there are still reported missing,” said Deona.  Bicol region is the hardest hit of tropica",Camarines Norte,5km,downpour,medium,unknown,landslide,5.0,0.0,nan,nan,nan,glc,3843.0,Philippines,PH,5025.0,1,0,1,0,0,0,1,0,0,0,1
"MANALI: Unable to cross a landslide at Rohtang pass, a driver breathed his last inside his truck near Marhi on Sunday. Landslides have trapped more than 400 vehicles including some tourist vehicles here since Saturday midnight.  According to reports from Rohtang, heavy showers on Saturday night triggered landslides near Rahni Nulla, 12 km below Rohtang. Several vehicles including some LPG gas cylinder carriers were trapped at Marhi. Seeing that damage was huge and restoration of highway was impossible at night, a truck (HP20A-8959) driver, Sukhbir Singh, 30, resident of Una, slept inside the truck and was found dead on Sunday morning. The postmortem of the deceased is yet to be carried out but sources said he died due to severe cold.  He could have been saved if landslides had not forced him to spend the night inside the truck without proper woolens. Manali DSP Shiv Chaudhary said the body was found without warm clothes inside the truck. A source stranded in the jam at Rohtang reported",Rahni,5km,downpour,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,3777.0,India,IN,8341.0,1,0,1,0,0,0,1,0,0,0,1
"In the center of Angra dos Reis, the Civil Defense said that 22 people were missing in the Morro da Carioca, where a landslide hit several houses",Morro da Carioca,1km,downpour,large,unknown,landslide,12.0,0.0,nan,nan,nan,glc,1383.0,Brazil,BR,153635.0,1,0,1,0,0,0,0,1,0,0,1
